,totalLatency
0,1.3636862993240357
1,1.6393802762031555
2,1.4958921074867249
3,1.542300856113434
4,1.7760409712791443
5,2.1217665910720824
6,1.9771823644638062
7,1.9475647449493407
8,1.4287478566169738
9,1.701050055027008
10,1.6659071683883666
11,1.6383809089660644
12,1.8748574018478394
13,2.1803396940231323
14,2.1474334836006164
15,2.069829487800598
16,1.683328664302826
17,2.008396828174591
18,1.9960448265075683
19,1.9824024796485902
20,1.2867858052253722
21,1.7185464262962342
22,1.688835620880127
23,1.5758666396141052
24,1.3782360315322877
25,1.9003334164619445
26,1.8448981285095214
27,1.709411334991455
28,1.2587143301963806
29,1.6976823806762695
30,1.5534721255302428
31,1.460582435131073
32,1.2607465863227845
33,1.4534707903861999
34,1.374686884880066
35,1.2738572478294372
0,1.4690179586410523
1,1.7988349199295044
2,1.731374740600586
3,1.6887382864952087
4,1.3463141679763795
5,1.7202818632125854
6,1.7283656597137451
7,1.6282346367835998
0,1.4124693512916564
1,1.7006322860717773
2,1.6823700070381165
3,1.6452099442481996
4,1.3387224078178406
5,1.604980504512787
6,1.5675176739692689
7,1.5861478209495545
8,1.3646570086479186
9,1.6959147810935975
10,1.620120882987976
11,1.5905374884605408
12,1.5022031784057617
13,1.799733853340149
14,1.7755894660949707
15,1.7642232656478882
16,1.3857294201850892
17,1.7462807297706604
18,1.7150078654289245
19,1.678770089149475
20,4.6735511302948
21,5.057444179058075
22,5.055572593212128
23,4.987140679359436
24,1.246569538116455
25,1.5675713419914246
26,1.4857362627983093
27,1.3585851073265076
28,1.298059892654419
29,1.4944833874702455
30,1.5092986464500426
31,1.4078521251678466
32,1.2473589062690735
33,1.4711858034133911
34,1.356861650943756
35,1.2610103249549867
0,1.7782605171203614
1,2.0771615266799928
2,1.926995825767517
3,1.8898856163024902
4,1.3342692613601685
5,1.5893922805786134
6,1.4705970764160157
7,1.4753619313240052
8,1.3808566808700562
9,1.6180663108825684
10,1.6266452193260192
11,1.576887583732605
12,1.3674010038375854
13,1.67878338098526
14,1.6010357022285462
15,1.5701462268829345
16,1.297946846485138
17,1.6280622601509094
18,1.6111203789711
19,1.5061758041381836
0,1.6439654231071472
1,1.9149192094802856
2,1.7889273047447205
3,1.7709604501724243
0,1.686738669872284
1,1.9649155855178833
2,1.838983452320099
3,1.8084300994873046
4,1.2947383403778077
5,1.5384160995483398
6,1.429009485244751
7,1.4195615649223328
8,1.3789041996002198
9,1.6083838105201722
10,1.6409481525421143
11,1.5644910216331482
0,1.4447872638702393
1,1.7173770189285278
2,1.5881173968315125
3,1.5489595770835876
4,3.345177412033081
5,3.6991018056869507
6,3.576786017417908
7,3.5986976861953734
8,2.0605058789253237
9,2.356859767436981
10,2.283671200275421
11,2.2520190358161924
12,4.29150390625
13,4.603991842269897
14,4.620304965972901
15,4.637349629402161
16,2.734095048904419
17,3.0373852372169496
18,3.033597993850708
19,3.03042995929718
20,1.3429704308509827
21,1.849062740802765
22,1.798404049873352
23,1.6446182608604432
24,1.2387126684188843
25,1.6573367834091186
26,1.4349208116531371
27,1.3428173780441284
28,1.2413434982299805
29,1.4327956914901734
30,1.355161154270172
31,1.2547669410705566
0,1.7593249797821044
1,2.055012035369873
2,1.919813048839569
