,totalLatency
0,2.4468108797073365
1,4.938090467453003
2,2.650125570297241
3,5.400335788726807
4,4.889065508842468
5,2.304847798347473
6,2.36451687335968
7,2.4264938926696775
8,2.0570487213134765
0,2.4907594203948973
1,2.3358258390426636
0,2.4409356260299684
1,2.1677446508407594
2,3.789749474525452
3,33.25523367404938
4,2.168652400970459
0,4.88557448387146
1,2.083047294616699
2,2.3053880405426024
3,2.2952741384506226
0,10.200710492134094
1,3.4230463314056396
2,13.992370843887329
3,2.3132590103149413
0,4.29869327545166
1,2.42430317401886
2,2.50456072807312
3,2.6161428356170653
4,3.9588603496551515
0,4.469328165054321
1,2.129872965812683
2,3.2002067804336547
3,2.1712635231018065
4,2.4127065753936767
0,9.781489176750183
1,6.518259167671204
2,2.293993282318115
3,2.1951298332214355
4,2.2967513179779053
5,2.183276529312134
0,10.314575052261352
1,6.016167521476746
2,37.303193359375
3,5.532967162132263
4,2.5533844566345216
5,2.6853115940093994
6,2.6534265422821046
7,4.354307079315186
8,38.576314487457275
9,2.2990352725982666
10,2.476703224182129
11,2.5662167119979857
12,38.45157095432282
13,2.1764803314208985
14,38.2559548997879
15,2.1963406133651735
0,8.414200372695923
1,8.455275497436524
2,37.52668498039245
3,4.342297029495239
0,4.959405736923218
1,4.500702600479126
2,18.911437611579895
3,6.24286675453186
4,6.338743190765381
5,4.631291046142578
6,36.353242778778075
7,2.2967266511917113
8,37.478533720970155
9,5.963871183395386
10,2.2037160491943357
11,2.780196437835693
12,3.3537775087356567
13,36.93171771526337
14,6.0823033332824705
15,3.96308304309845
16,37.13679227352142
17,2.517795691490173
18,2.264576349258423
19,2.7310865926742554
20,2.69556854724884
21,2.7404845476150514
22,2.690547757148743
23,2.5260997676849364
24,2.5031369733810425
25,37.495684700012205
26,2.31270583152771
27,2.2202794313430787
28,38.218722620010375
29,2.12553147315979
30,2.3029415464401244
31,2.4924863719940187
32,2.5162432622909545
33,37.8105330657959
34,2.0264544343948363
35,2.1651946306228638
36,37.95549614429474
37,2.1164342308044435
0,5.0507508516311646
1,2.926151547431946
2,2.645447301864624
3,23.056664810180663
0,11.251120095252992
1,8.054681096076965
2,25.914149231910706
3,10.867098169326782
4,9.12430835723877
5,38.596055097579956
0,8.35063726902008
1,7.798532838821411
2,12.52155668258667
3,10.232556066513062
4,2.2797924852371216
5,2.9122226238250732
6,2.3964645004272462
7,2.3519043350219726
8,2.124156770706177
9,2.2709280681610107
0,2.767426438331604
1,6.441080656051636
2,3.9789605808258055
3,7.684831457138062
4,3.2120199680328367
5,10.546297039985657
6,2.596001834869385
7,2.3244828176498413
8,2.4261842918395997
9,2.747727370262146
0,2.250214343070984
1,4.998551149368286
2,4.820620789527893
3,8.840444221496583
0,4.006444053649902
0,3.364347972869873
1,8.919598155021667
2,8.880978002548218
3,2.3838930320739746
0,5.987352437973023
0,4.308830976486206
0,10.20116668701172
1,9.672898468971253
2,17.702804489135744
3,15.053163924217223
4,2.293804864883423
5,3.3220796298980715
6,2.5141223430633546
7,2.4974212551116945
8,2.2268979024887083
9,2.543968162536621
0,6.009115271568298
1,10.90981198310852
2,9.565483884811401
3,12.226446723937988
4,9.033859658241273
5,14.06781750202179
6,3.2172629404067994
7,2.3476903533935545
8,5.295627603530884
9,4.135604691505432
0,2.359489574432373
1,6.359688997268677
2,5.744610481262207
3,2.436635856628418
0,4.975896277427673
0,2.865597677230835
1,6.165634579658509
2,3.9846312952041627
3,5.871763372421265
4,2.683449001312256
5,7.946100826263428
6,2.3042702531814574
7,2.3677402353286743
8,2.4862804794311524
9,2.134956135749817
0,2.941251211166382
1,2.5064612293243407
2,38.78852017879486
0,11.086434307098388
1,14.330340156555176
2,37.30698684215545
3,3.460639753341675
4,2.9304791021347047
5,2.562744574546814
6,37.6902930355072
7,2.602856469154358
8,37.511141538619995
0,6.134403467178345
1,9.675814437866212
2,3.8307297086715697
3,36.89029706478119
4,9.309000725746154
5,36.77082236766815
6,4.594385266304016
7,4.490221328735352
8,37.731792387962344
0,5.777110171318054
1,6.949658498764038
2,37.48604057788849
0,2.2294445991516114
1,7.281379065513611
2,4.958731031417846
3,2.3975844860076903
0,2.7269558620452883
0,11.236782574653626
1,16.512419486045836
2,11.437003116607666
3,38.57499197006226
4,18.76967070579529
5,37.325267367362976
6,3.6367930936813355
7,4.7030380964279175
8,37.82765965938568
0,11.977810373306275
1,12.260290083885193
2,37.79733700275421
