,totalLatency
0,0.797187113006784
1,0.870826706534919
2,0.8419056214437226
3,0.8405932854857174
4,0.797187113006784
5,0.8894121831235127
6,0.8047683123743351
7,0.8405932854857174
8,0.797187113006784
9,0.8894121831235127
10,0.8419056214437226
11,0.8405932854857174
12,0.797187113006784
13,0.8894121831235127
14,0.8419056214437226
15,0.8405932854857174
16,0.7416532909476753
17,0.8535002733179033
18,0.7874418791573194
19,0.7468971912367353
20,0.7416532909476753
21,0.8535002733179033
22,0.7482095271947404
23,0.7468971912367353
24,0.7416532909476753
25,0.8535002733179033
26,0.7482095271947404
27,0.7468971912367353
28,0.7416532909476753
29,0.7957160888745305
30,0.7874418791573194
31,0.7468971912367353
32,0.7416532909476753
33,0.7957160888745305
34,0.7874418791573194
35,0.7468971912367353
36,0.7416532909476753
37,0.7957160888745305
38,0.7482095271947404
39,0.7468971912367353
,totalLatency
0,0.797187113006784
1,0.870826706534919
2,0.8047683123743351
3,0.8405932854857174
4,0.797187113006784
5,0.870826706534919
6,0.8419056214437226
7,0.8405932854857174
8,0.797187113006784
9,0.870826706534919
10,0.8419056214437226
11,0.8405932854857174
12,0.797187113006784
13,0.8894121831235127
14,0.8047683123743351
15,0.8405932854857174
16,0.797187113006784
17,0.8894121831235127
18,0.8047683123743351
19,0.8405932854857174
20,0.797187113006784
21,0.8894121831235127
22,0.8419056214437226
23,0.8405932854857174
24,0.7416532909476753
25,0.8535002733179033
26,0.7874418791573194
27,0.7468971912367353
28,0.7416532909476753
29,0.8535002733179033
30,0.7874418791573194
31,0.7468971912367353
32,0.7416532909476753
33,0.8535002733179033
34,0.7482095271947404
35,0.7468971912367353
36,0.7416532909476753
37,0.7957160888745305
38,0.7874418791573194
39,0.7468971912367353
,totalLatency
0,0.797187113006784
1,0.870826706534919
2,0.8047683123743351
3,0.8405932854857174
4,0.797187113006784
5,0.870826706534919
6,0.8419056214437226
7,0.8405932854857174
8,0.797187113006784
9,0.8894121831235127
10,0.8047683123743351
11,0.8405932854857174
12,0.7416532909476753
13,0.8535002733179033
14,0.7874418791573194
15,0.7468971912367353
,totalLatency
0,0.797187113006784
1,0.870826706534919
2,0.8047683123743351
3,0.8405932854857174
,totalLatency
0,0.797187113006784
1,0.870826706534919
2,0.8047683123743351
3,0.8405932854857174
4,0.797187113006784
5,0.870826706534919
6,0.8419056214437226
7,0.8405932854857174
8,0.797187113006784
9,0.8894121831235127
10,0.8047683123743351
11,0.8405932854857174
12,0.7416532909476753
13,0.8535002733179033
14,0.7874418791573194
15,0.7468971912367353
,totalLatency
0,0.797187113006784
1,0.870826706534919
2,0.8047683123743351
3,0.8405932854857174
,totalLatency
0,0.797187113006784
1,0.870826706534919
2,0.8047683123743351
3,0.8405932854857174
,totalLatency
0,0.797187113006784
1,0.870826706534919
2,0.8047683123743351
3,0.8405932854857174
4,0.797187113006784
5,0.870826706534919
6,0.8419056214437226
7,0.8405932854857174
8,0.797187113006784
9,0.870826706534919
10,0.8419056214437226
11,0.8405932854857174
12,0.797187113006784
13,0.8894121831235127
14,0.8047683123743351
15,0.8405932854857174
16,0.797187113006784
17,0.8894121831235127
18,0.8047683123743351
19,0.8405932854857174
20,0.797187113006784
21,0.8894121831235127
22,0.8419056214437226
23,0.8405932854857174
24,0.7416532909476753
25,0.8535002733179033
26,0.7874418791573194
27,0.7468971912367353
28,0.7416532909476753
29,0.8535002733179033
30,0.7874418791573194
31,0.7468971912367353
32,0.7416532909476753
33,0.8535002733179033
34,0.7482095271947404
35,0.7468971912367353
36,0.7416532909476753
37,0.7957160888745305
38,0.7874418791573194
39,0.7468971912367353
,totalLatency
0,0.7416532909476753
1,0.9745676228352519
2,0.7482095271947404
3,0.7468971912367353
4,0.7416532909476753
5,0.7957160888745305
6,0.793567622835252
7,0.7468971912367353
,totalLatency
0,0.797187113006784
1,1.0297031038310152
2,0.8419056214437226
3,0.8405932854857174
4,0.797187113006784
5,0.8894121831235127
6,0.8487031038310151
7,0.8405932854857174
8,0.7416532909476753
9,0.9745676228352519
