,totalLatency
0,0.19748302226916542
1,0.5403754973836548
2,0.32215194728992247
3,0.6133267115385518
4,0.19748302226916542
5,0.5403754973836548
6,0.32215194728992247
7,0.6133267115385518
8,0.19748302226916542
9,0.5403754973836548
10,0.32215194728992247
11,0.6133267115385518
12,0.19748302226916542
13,0.5403754973836548
14,0.32215194728992247
15,0.6133267115385518
16,0.19748302226916542
17,0.5403754973836548
18,0.32215194728992247
19,0.6133267115385518
20,0.19748302226916542
21,0.5403754973836548
22,0.32215194728992247
23,0.6133267115385518
24,0.19748302226916542
25,0.5403754973836548
26,0.32215194728992247
27,0.6133267115385518
28,0.19748302226916542
29,0.5403754973836548
30,0.32215194728992247
31,0.6133267115385518
32,0.19748302226916542
33,0.5403754973836548
34,0.32215194728992247
35,0.6133267115385518
36,0.19748302226916542
37,0.5403754973836548
38,0.32215194728992247
39,0.6133267115385518
,totalLatency
0,0.19748302226916542
1,0.5403754973836548
2,0.32215194728992247
3,0.6133267115385518
4,0.19748302226916542
5,0.5403754973836548
6,0.32215194728992247
7,0.6133267115385518
8,0.19748302226916542
9,0.5403754973836548
10,0.32215194728992247
11,0.6133267115385518
12,0.19748302226916542
13,0.5403754973836548
14,0.32215194728992247
15,0.6133267115385518
16,0.19748302226916542
17,0.5403754973836548
18,0.32215194728992247
19,0.6133267115385518
20,0.19748302226916542
21,0.5403754973836548
22,0.32215194728992247
23,0.6133267115385518
24,0.19748302226916542
25,0.5403754973836548
26,0.32215194728992247
27,0.6133267115385518
28,0.19748302226916542
29,0.5403754973836548
30,0.32215194728992247
31,0.6133267115385518
32,0.19748302226916542
33,0.5403754973836548
34,0.32215194728992247
35,0.6133267115385518
36,0.19748302226916542
37,0.5403754973836548
38,0.32215194728992247
39,0.6133267115385518
,totalLatency
0,0.19748302226916542
1,0.5403754973836548
2,0.2873025807731475
3,0.6133267115385518
4,0.19748302226916542
5,0.5403754973836548
6,0.2873025807731475
7,0.6133267115385518
8,0.19748302226916542
9,0.5403754973836548
10,0.2873025807731475
11,0.6133267115385518
12,0.19748302226916542
13,0.5403754973836548
14,0.2873025807731475
15,0.6133267115385518
,totalLatency
0,0.19748302226916542
1,0.5403754973836548
2,0.2873025807731475
3,0.6133267115385518
,totalLatency
0,0.19748302226916542
1,0.3980462886388631
2,0.32215194728992247
3,0.47102581934748516
4,0.19748302226916542
5,0.3980462886388631
6,0.32215194728992247
7,0.47102581934748516
8,0.19748302226916542
9,0.3980462886388631
10,0.32215194728992247
11,0.47102581934748516
12,0.19748302226916542
13,0.3980462886388631
14,0.32215194728992247
15,0.47102581934748516
,totalLatency
0,0.19748302226916542
1,0.3980462886388631
2,0.32215194728992247
3,0.47102581934748516
,totalLatency
0,0.19748302226916542
1,0.3980462886388631
2,0.2873025807731475
3,0.47102581934748516
,totalLatency
0,0.08954595805581307
1,0.5403754973836548
2,0.43012053927858895
3,0.6133267115385518
4,0.08954595805581307
5,0.5403754973836548
6,0.43012053927858895
7,0.6133267115385518
8,0.08954595805581307
9,0.5403754973836548
10,0.43012053927858895
11,0.6133267115385518
12,0.08954595805581307
13,0.5403754973836548
14,0.43012053927858895
15,0.6133267115385518
16,0.08954595805581307
17,0.5403754973836548
18,0.43012053927858895
19,0.6133267115385518
20,0.08954595805581307
21,0.5403754973836548
22,0.43012053927858895
23,0.6133267115385518
24,0.08954595805581307
25,0.5403754973836548
26,0.43012053927858895
27,0.6133267115385518
28,0.08954595805581307
29,0.5403754973836548
30,0.43012053927858895
31,0.6133267115385518
32,0.08954595805581307
33,0.5403754973836548
34,0.43012053927858895
35,0.6133267115385518
36,0.08954595805581307
37,0.5403754973836548
38,0.43012053927858895
39,0.6133267115385518
,totalLatency
0,0.08954595805581307
1,0.5403754973836548
2,0.21368796213848584
3,0.6133267115385518
4,0.08954595805581307
5,0.5403754973836548
6,0.21368796213848584
7,0.6133267115385518
,totalLatency
0,0.08954595805581307
1,0.5403754973836548
2,0.21368796213848584
3,0.6133267115385518
4,0.08954595805581307
5,0.5403754973836548
6,0.21368796213848584
7,0.6133267115385518
8,0.08954595805581307
9,0.5403754973836548
10,0.21368796213848584
11,0.6133267115385518
12,0.08954595805581307
13,0.5403754973836548
14,0.21368796213848584
15,0.6133267115385518
16,0.08954595805581307
17,0.5403754973836548
18,0.21368796213848584
19,0.6133267115385518
20,0.08954595805581307
21,0.5403754973836548
22,0.21368796213848584
23,0.6133267115385518
,totalLatency
0,0.08954595805581307
1,0.5403754973836548
2,0.17936738180613226
3,0.6133267115385518
4,0.08954595805581307
5,0.5403754973836548
6,0.17936738180613226
7,0.6133267115385518
8,0.08954595805581307
9,0.5403754973836548
10,0.17936738180613226
11,0.6133267115385518
12,0.08954595805581307
13,0.5403754973836548
14,0.17936738180613226
15,0.6133267115385518
16,0.08954595805581307
17,0.5403754973836548
18,0.17936738180613226
19,0.6133267115385518
20,0.08954595805581307
21,0.5403754973836548
22,0.17936738180613226
23,0.6133267115385518
,totalLatency
0,0.08954595805581307
1,0.5403754973836548
2,0.17936738180613226
3,0.6133267115385518
4,0.08954595805581307
5,0.5403754973836548
6,0.17936738180613226
7,0.6133267115385518
,totalLatency
0,0.08954595805581307
1,0.3980462886388631
2,0.43012053927858895
3,0.47102581934748516
4,0.08954595805581307
5,0.3980462886388631
6,0.43012053927858895
7,0.47102581934748516
8,0.08954595805581307
9,0.3980462886388631
10,0.43012053927858895
11,0.47102581934748516
12,0.08954595805581307
13,0.3980462886388631
14,0.43012053927858895
15,0.47102581934748516
,totalLatency
0,0.08954595805581307
1,0.3980462886388631
2,0.43012053927858895
3,0.47102581934748516
,totalLatency
0,0.08954595805581307
1,0.3980462886388631
2,0.21368796213848584
3,0.47102581934748516
4,0.08954595805581307
5,0.3980462886388631
6,0.21368796213848584
7,0.47102581934748516
