,totalLatency
0,0.6337904283209548
1,0.6401824177778942
2,0.6338262716426271
3,0.6427501578828736
4,0.6363940117476065
5,0.6363940117476065
6,0.6399685296894305
7,0.6392818881172466
8,0.6399685296894305
9,0.6392818881172466
10,0.598837496050253
,totalLatency
0,0.6427501578828736
1,0.6399685296894305
,totalLatency
0,0.6337904283209548
1,0.6401824177778942
2,0.6338262716426271
3,0.6363940117476065
4,0.6427501578828736
5,0.6363940117476065
6,0.6392818881172466
7,0.6399685296894305
8,0.6310215741340411
9,0.598837496050253
,totalLatency
0,0.6401465744562219
1,0.6337904283209548
2,0.6401824177778942
3,0.6427501578828736
4,0.6399685296894305
,totalLatency
0,0.6401465744562219
,totalLatency
0,0.6401465744562219
1,0.6337904283209548
2,0.6401824177778942
3,0.6399685296894305
,totalLatency
0,0.6337904283209548
1,0.6401824177778942
2,0.6338262716426271
3,0.6427501578828736
4,0.6427501578828736
5,0.6363940117476065
6,0.6392818881172466
7,0.6399685296894305
8,0.598837496050253
,totalLatency
0,0.6401465744562219
1,0.6337904283209548
2,0.6401824177778942
3,0.6427501578828736
4,0.6399685296894305
,totalLatency
0,0.6401465744562219
1,0.6337904283209548
2,0.6401824177778942
3,0.6338262716426271
4,0.6427501578828736
5,0.6363940117476065
6,0.6427501578828736
7,0.6363940117476065
8,0.6399685296894305
9,0.6392818881172466
10,0.6399685296894305
11,0.6392818881172466
12,0.631708215706225
13,0.598837496050253
,totalLatency
0,0.6337904283209548
1,0.6401824177778942
2,0.6338262716426271
3,0.6363940117476065
4,0.6427501578828736
5,0.6363940117476065
6,0.6399685296894305
7,0.6392818881172466
8,0.6399685296894305
9,0.6392818881172466
10,0.631708215706225
11,0.598837496050253
,totalLatency
0,0.6338262716426271
1,0.6371118636188015
2,0.6384486446273492
3,0.6363940117476065
4,0.6310215741340411
5,0.6131827400458453
6,0.6096596929392776
7,0.6392818881172466
8,0.6384738714861724
9,0.6392818881172466
10,0.6352828621459674
11,0.6317598150393997
12,0.630213557502967
13,0.6310215741340411
14,0.5945359827947286
15,0.598837496050253
,totalLatency
0,0.6337904283209548
1,0.6401824177778942
2,0.6427501578828736
3,0.6384486446273492
4,0.631708215706225
5,0.6399685296894305
6,0.6384738714861724
7,0.6399685296894305
,totalLatency
0,0.6401465744562219
1,0.6337904283209548
2,0.6401824177778942
3,0.6338262716426271
4,0.6406349107253692
5,0.6371118636188015
6,0.6358450612006975
7,0.6337904283209548
8,0.6358809045223698
9,0.6401824177778942
10,0.6338262716426271
11,0.6427501578828736
12,0.6371118636188015
13,0.6384486446273492
14,0.6427501578828736
15,0.6363940117476065
16,0.6384486446273492
17,0.6427501578828736
18,0.6363940117476065
19,0.631708215706225
20,0.6310215741340411
21,0.6131827400458453
22,0.6096596929392776
23,0.6399685296894305
24,0.6392818881172466
25,0.6384738714861724
26,0.6399685296894305
27,0.6392818881172466
28,0.6384738714861724
29,0.6399685296894305
30,0.6392818881172466
31,0.6352828621459674
32,0.6317598150393997
33,0.630213557502967
34,0.631708215706225
35,0.6310215741340411
36,0.5945359827947286
37,0.598837496050253
,totalLatency
0,0.6401465744562219
1,0.6337904283209548
2,0.6401824177778942
3,0.6427501578828736
4,0.6399685296894305
,totalLatency
0,0.6401465744562219
1,0.6337904283209548
2,0.6401824177778942
3,0.6406349107253692
4,0.6371118636188015
5,0.6358450612006975
,totalLatency
0,0.6442279400492962
1,0.6463670876872253
2,0.6443026053620319
3,0.6462924223744896
4,0.6442279400492962
5,0.6443026053620319
6,0.6412575365846699
7,0.6448625588225596
8,0.6280612694513948
9,0.6316662916892846
10,0.605744613050317
,totalLatency
0,0.6462924223744896
1,0.6412575365846699
,totalLatency
0,0.6442279400492962
1,0.6463670876872253
2,0.6443026053620319
3,0.6442279400492962
4,0.6463670876872253
5,0.6443026053620319
6,0.6448625588225596
7,0.6280612694513948
8,0.6448625588225596
9,0.605744613050317
,totalLatency
0,0.6462924223744896
1,0.6442279400492962
2,0.6463670876872253
3,0.6462924223744896
4,0.6412575365846699
,totalLatency
0,0.6462924223744896
,totalLatency
0,0.6462924223744896
1,0.6442279400492962
2,0.6463670876872253
3,0.6412575365846699
,totalLatency
0,0.6442279400492962
1,0.6463670876872253
2,0.6443026053620319
3,0.6462924223744896
4,0.6463670876872253
5,0.6443026053620319
6,0.6448625588225596
7,0.6280612694513948
8,0.605744613050317
,totalLatency
0,0.6462924223744896
1,0.6442279400492962
2,0.6463670876872253
3,0.6462924223744896
4,0.6412575365846699
,totalLatency
0,0.6462924223744896
1,0.6442279400492962
2,0.6463670876872253
3,0.6443026053620319
4,0.6462924223744896
5,0.6442279400492962
6,0.6463670876872253
7,0.6443026053620319
8,0.6412575365846699
9,0.6448625588225596
10,0.6280612694513948
11,0.6316662916892846
12,0.6412575365846699
13,0.605744613050317
,totalLatency
0,0.6442279400492962
1,0.6463670876872253
2,0.6443026053620319
3,0.6442279400492962
4,0.6463670876872253
5,0.6443026053620319
6,0.6412575365846699
7,0.6448625588225596
8,0.6280612694513948
9,0.6316662916892846
10,0.6412575365846699
11,0.605744613050317
,totalLatency
0,0.6443026053620319
1,0.6489024209143596
2,0.6402801143247111
3,0.6443026053620319
4,0.6448625588225596
5,0.630025843536384
6,0.63079446023989
7,0.6468405595306702
8,0.6247811511411469
9,0.6316662916892846
10,0.6460719428271642
11,0.6468405595306702
12,0.6379774182744219
13,0.6448625588225596
14,0.5996576396878028
15,0.605744613050317
,totalLatency
0,0.6442279400492962
1,0.6463670876872253
2,0.6481338042108535
3,0.6402054490119754
4,0.6412575365846699
5,0.6460719428271642
6,0.6379774182744219
7,0.6412575365846699
,totalLatency
0,0.6462924223744896
1,0.6442279400492962
2,0.6463670876872253
3,0.6443026053620319
4,0.6481338042108535
5,0.6489024209143596
6,0.6402054490119754
7,0.6442279400492962
8,0.6402801143247111
9,0.6463670876872253
10,0.6443026053620319
11,0.6481338042108535
12,0.6489024209143596
13,0.6402054490119754
14,0.6462924223744896
15,0.6442279400492962
16,0.6402801143247111
17,0.6463670876872253
18,0.6443026053620319
19,0.6412575365846699
20,0.6448625588225596
21,0.630025843536384
22,0.63079446023989
23,0.6460719428271642
24,0.6468405595306702
25,0.6379774182744219
26,0.6412575365846699
27,0.6448625588225596
28,0.6247811511411469
29,0.6280612694513948
30,0.6316662916892846
31,0.6460719428271642
32,0.6468405595306702
33,0.6379774182744219
34,0.6412575365846699
35,0.6448625588225596
36,0.5996576396878028
37,0.605744613050317
,totalLatency
0,0.6462924223744896
1,0.6442279400492962
2,0.6463670876872253
3,0.6462924223744896
4,0.6412575365846699
,totalLatency
0,0.6462924223744896
1,0.6442279400492962
2,0.6463670876872253
3,0.6481338042108535
4,0.6489024209143596
5,0.6402054490119754
,totalLatency
0,0.6455602423627315
1,0.6475706218570757
2,0.6456770047745758
3,0.6474538594452314
4,0.6455602423627315
5,0.6456770047745758
6,0.6426938227677247
7,0.6464697102483081
8,0.6352509805066359
9,0.6390268679872193
10,0.6070984661981598
,totalLatency
0,0.6474538594452314
1,0.6426938227677247
,totalLatency
0,0.6455602423627315
1,0.6475706218570757
2,0.6456770047745758
3,0.6455602423627315
4,0.6475706218570757
5,0.6456770047745758
6,0.6464697102483081
7,0.6352509805066359
8,0.6464697102483081
9,0.6070984661981598
,totalLatency
0,0.6474538594452314
1,0.6455602423627315
2,0.6475706218570757
3,0.6474538594452314
4,0.6426938227677247
,totalLatency
0,0.6474538594452314
,totalLatency
0,0.6474538594452314
1,0.6455602423627315
2,0.6475706218570757
3,0.6426938227677247
,totalLatency
0,0.6455602423627315
1,0.6475706218570757
2,0.6456770047745758
3,0.6474538594452314
4,0.6475706218570757
5,0.6456770047745758
6,0.6464697102483081
7,0.6352509805066359
8,0.6070984661981598
,totalLatency
0,0.6474538594452314
1,0.6455602423627315
2,0.6475706218570757
3,0.6474538594452314
4,0.6426938227677247
,totalLatency
0,0.6474538594452314
1,0.6455602423627315
2,0.6475706218570757
3,0.6456770047745758
4,0.6474538594452314
5,0.6455602423627315
6,0.6475706218570757
7,0.6456770047745758
8,0.6426938227677247
9,0.6464697102483081
10,0.6352509805066359
11,0.6390268679872193
12,0.6426938227677247
13,0.6070984661981598
,totalLatency
0,0.6455602423627315
1,0.6475706218570757
2,0.6456770047745758
3,0.6455602423627315
4,0.6475706218570757
5,0.6456770047745758
6,0.6426938227677247
7,0.6464697102483081
8,0.6352509805066359
9,0.6390268679872193
10,0.6426938227677247
11,0.6070984661981598
,totalLatency
0,0.6456770047745758
1,0.651983614866108
2,0.6413097749300628
3,0.6456770047745758
4,0.6464697102483081
5,0.6327327113236346
6,0.6336721932698341
7,0.650072072460411
8,0.6317969886318893
9,0.6390268679872193
10,0.6491325905142115
11,0.650072072460411
12,0.6392398308929781
13,0.6464697102483081
14,0.6008376192711469
15,0.6070984661981598
,totalLatency
0,0.6455602423627315
1,0.6475706218570757
2,0.6510441329199085
3,0.6411930125182185
4,0.6426938227677247
5,0.6491325905142115
6,0.6392398308929781
7,0.6426938227677247
,totalLatency
0,0.6474538594452314
1,0.6455602423627315
2,0.6475706218570757
3,0.6456770047745758
4,0.6510441329199085
5,0.651983614866108
6,0.6411930125182185
7,0.6455602423627315
8,0.6413097749300628
9,0.6475706218570757
10,0.6456770047745758
11,0.6510441329199085
12,0.651983614866108
13,0.6411930125182185
14,0.6474538594452314
15,0.6455602423627315
16,0.6413097749300628
17,0.6475706218570757
18,0.6456770047745758
19,0.6426938227677247
20,0.6464697102483081
21,0.6327327113236346
22,0.6336721932698341
23,0.6491325905142115
24,0.650072072460411
25,0.6392398308929781
26,0.6426938227677247
27,0.6464697102483081
28,0.6317969886318893
29,0.6352509805066359
30,0.6390268679872193
31,0.6491325905142115
32,0.650072072460411
33,0.6392398308929781
34,0.6426938227677247
35,0.6464697102483081
36,0.6008376192711469
37,0.6070984661981598
,totalLatency
0,0.6474538594452314
1,0.6455602423627315
2,0.6475706218570757
3,0.6474538594452314
4,0.6426938227677247
,totalLatency
0,0.6474538594452314
1,0.6455602423627315
2,0.6475706218570757
3,0.6510441329199085
4,0.651983614866108
5,0.6411930125182185
,totalLatency
0,0.646112973379007
1,0.6481270978471776
2,0.646275441596162
3,0.6479646296300225
4,0.646112973379007
5,0.646275441596162
6,0.643379516241103
7,0.6471973645531708
8,0.6370651956410681
9,0.6408830439531359
10,0.6076925645244168
,totalLatency
0,0.6479646296300225
1,0.643379516241103
,totalLatency
0,0.646112973379007
1,0.6481270978471776
2,0.646275441596162
3,0.646112973379007
4,0.6481270978471776
5,0.646275441596162
6,0.6471973645531708
7,0.6370651956410681
8,0.6471973645531708
9,0.6076925645244168
,totalLatency
0,0.6479646296300225
1,0.646112973379007
2,0.6481270978471776
3,0.6479646296300225
4,0.643379516241103
,totalLatency
0,0.6479646296300225
,totalLatency
0,0.6479646296300225
1,0.646112973379007
2,0.6481270978471776
3,0.643379516241103
,totalLatency
0,0.646112973379007
1,0.6481270978471776
2,0.646275441596162
3,0.6479646296300225
4,0.6481270978471776
5,0.646275441596162
6,0.6471973645531708
7,0.6370651956410681
8,0.6076925645244168
,totalLatency
0,0.6479646296300225
1,0.646112973379007
2,0.6481270978471776
3,0.6479646296300225
4,0.643379516241103
,totalLatency
0,0.6479646296300225
1,0.646112973379007
2,0.6481270978471776
3,0.646275441596162
4,0.6479646296300225
5,0.646112973379007
6,0.6481270978471776
7,0.646275441596162
8,0.643379516241103
9,0.6471973645531708
10,0.6370651956410681
11,0.6408830439531359
12,0.643379516241103
13,0.6076925645244168
,totalLatency
0,0.646112973379007
1,0.6481270978471776
2,0.646275441596162
3,0.646112973379007
4,0.6481270978471776
5,0.646275441596162
6,0.643379516241103
7,0.6471973645531708
8,0.6370651956410681
9,0.6408830439531359
10,0.643379516241103
11,0.6076925645244168
,totalLatency
0,0.646275441596162
1,0.6548794555980013
2,0.6418155429277257
3,0.646275441596162
4,0.6471973645531708
5,0.6338514019877234
6,0.6348328447654072
7,0.6530055355284594
8,0.6335604957738825
9,0.6408830439531359
10,0.6520240927507756
11,0.6530055355284594
12,0.6398748163739174
13,0.6471973645531708
14,0.6013810096049649
15,0.6076925645244168
,totalLatency
0,0.646112973379007
1,0.6481270978471776
2,0.6538980128203175
3,0.6416530747105706
4,0.643379516241103
5,0.6520240927507756
6,0.6398748163739174
7,0.643379516241103
,totalLatency
0,0.6479646296300225
1,0.646112973379007
2,0.6481270978471776
3,0.646275441596162
4,0.6538980128203175
5,0.6548794555980013
6,0.6416530747105706
7,0.646112973379007
8,0.6418155429277257
9,0.6481270978471776
10,0.646275441596162
11,0.6538980128203175
12,0.6548794555980013
13,0.6416530747105706
14,0.6479646296300225
15,0.646112973379007
16,0.6418155429277257
17,0.6481270978471776
18,0.646275441596162
19,0.643379516241103
20,0.6471973645531708
21,0.6338514019877234
22,0.6348328447654072
23,0.6520240927507756
24,0.6530055355284594
25,0.6398748163739174
26,0.643379516241103
27,0.6471973645531708
28,0.6335604957738825
29,0.6370651956410681
30,0.6408830439531359
31,0.6520240927507756
32,0.6530055355284594
33,0.6398748163739174
34,0.643379516241103
35,0.6471973645531708
36,0.6013810096049649
37,0.6076925645244168
,totalLatency
0,0.6479646296300225
1,0.646112973379007
2,0.6481270978471776
3,0.6479646296300225
4,0.643379516241103
,totalLatency
0,0.6479646296300225
1,0.646112973379007
2,0.6481270978471776
3,0.6538980128203175
4,0.6548794555980013
5,0.6416530747105706
,totalLatency
0,0.6464287500901292
1,0.648476139655012
2,0.6466409093623381
3,0.6482639803828032
4,0.6464287500901292
5,0.6466409093623381
6,0.6438455894684104
7,0.6476798637388197
8,0.6379128749729206
9,0.6417471492433299
10,0.6080564530275484
,totalLatency
0,0.6482639803828032
1,0.6438455894684104
,totalLatency
0,0.6464287500901292
1,0.648476139655012
2,0.6466409093623381
3,0.6464287500901292
4,0.648476139655012
5,0.6466409093623381
6,0.6476798637388197
7,0.6379128749729206
8,0.6476798637388197
9,0.6080564530275484
,totalLatency
0,0.6482639803828032
1,0.6464287500901292
2,0.648476139655012
3,0.6482639803828032
4,0.6438455894684104
,totalLatency
0,0.6482639803828032
,totalLatency
0,0.6482639803828032
1,0.6464287500901292
2,0.648476139655012
3,0.6438455894684104
,totalLatency
0,0.6464287500901292
1,0.648476139655012
2,0.6466409093623381
3,0.6482639803828032
4,0.648476139655012
5,0.6466409093623381
6,0.6476798637388197
7,0.6379128749729206
8,0.6080564530275484
,totalLatency
0,0.6482639803828032
1,0.6464287500901292
2,0.648476139655012
3,0.6482639803828032
4,0.6438455894684104
,totalLatency
0,0.6482639803828032
1,0.6464287500901292
2,0.648476139655012
3,0.6466409093623381
4,0.6482639803828032
5,0.6464287500901292
6,0.648476139655012
7,0.6466409093623381
8,0.6438455894684104
9,0.6476798637388197
10,0.6379128749729206
11,0.6417471492433299
12,0.6438455894684104
13,0.6080564530275484
,totalLatency
0,0.6464287500901292
1,0.648476139655012
2,0.6466409093623381
3,0.6464287500901292
4,0.648476139655012
