,totalLatency,totalLatency
0,0.606065609,1.363686299
1,0.597088279,1.639380276
2,0.610284546,1.495892107
3,0.648230191,1.542300856
4,0.606065609,1.776040971
5,0.597088279,2.121766591
6,0.648304856,1.977182364
7,0.648230191,1.947564745
8,0.606065609,1.428747857
9,0.597088279,1.701050055
10,0.648304856,1.665907168
11,0.648230191,1.638380909
12,0.606065609,1.874857402
13,-0.354465227,2.180339694
14,0.610284546,2.147433484
15,0.648230191,2.069829488
16,0.606065609,1.683328664
17,-0.354465227,2.008396828
18,0.648304856,1.996044827
19,0.648230191,1.98240248
20,0.603605406,1.286785805
21,0.632835465,1.718546426
22,0.646031732,1.688835621
23,0.607607716,1.57586664
24,0.603605406,1.378236032
25,0.632835465,1.900333416
26,0.646031732,1.844898129
27,0.607607716,1.709411335
28,0.603605406,1.25871433
29,0.632835465,1.697682381
30,0.607682382,1.553472126
31,0.607607716,1.460582435
32,0.603605406,1.260746586
33,-0.395087701,1.45347079
34,0.607682382,1.374686885
35,0.607607716,1.273857248
0,0.606065609,1.469017959
1,-0.354465227,1.79883492
2,0.610284546,1.731374741
3,0.648230191,1.688738286
4,0.603605406,1.346314168
5,0.632835465,1.720281863
6,0.646031732,1.72836566
7,0.607607716,1.628234637
0,0.606065609,1.412469351
1,0.597088279,1.700632286
2,0.648304856,1.682370007
3,0.648230191,1.645209944
4,0.606065609,1.338722408
5,0.597088279,1.604980505
6,0.648304856,1.567517674
7,0.648230191,1.586147821
8,0.606065609,1.364657009
9,-0.354465227,1.695914781
10,0.610284546,1.620120883
11,0.648230191,1.590537488
12,0.606065609,1.502203178
13,-0.354465227,1.799733853
14,0.648304856,1.775589466
15,0.648230191,1.764223266
16,0.606065609,1.38572942
17,-0.354465227,1.74628073
18,0.648304856,1.715007865
19,0.648230191,1.678770089
20,0.603605406,4.67355113
21,0.632835465,5.057444179
22,0.646031732,5.055572593
23,0.607607716,4.987140679
24,0.603605406,1.246569538
25,0.632835465,1.567571342
26,0.607682382,1.485736263
27,0.607607716,1.358585107
28,0.603605406,1.298059893
29,-0.395087701,1.494483387
30,0.646031732,1.509298646
31,0.607607716,1.407852125
32,0.603605406,1.247358906
33,-0.395087701,1.471185803
34,0.607682382,1.356861651
35,0.607607716,1.261010325
0,0.606065609,1.778260517
1,0.597088279,2.077161527
2,0.610284546,1.926995826
3,0.648230191,1.889885616
4,0.606065609,1.334269261
5,0.597088279,1.589392281
6,0.610284546,1.470597076
7,0.648230191,1.475361931
8,0.606065609,1.380856681
9,0.597088279,1.618066311
10,0.648304856,1.626645219
11,0.648230191,1.576887584
12,0.606065609,1.367401004
13,-0.354465227,1.678783381
14,0.610284546,1.601035702
15,0.648230191,1.570146227
16,0.603605406,1.297946846
17,0.632835465,1.62806226
18,0.646031732,1.611120379
19,0.607607716,1.506175804
0,0.606065609,1.643965423
1,0.597088279,1.914919209
2,0.610284546,1.788927305
3,0.648230191,1.77096045
0,0.606065609,1.68673867
1,0.597088279,1.964915586
2,0.610284546,1.838983452
3,0.648230191,1.808430099
4,0.606065609,1.29473834
5,0.597088279,1.5384161
6,0.610284546,1.429009485
7,0.648230191,1.419561565
8,0.606065609,1.3789042
9,0.597088279,1.608383811
10,0.648304856,1.640948153
11,0.648230191,1.564491022
0,0.606065609,1.444787264
1,0.597088279,1.717377019
2,0.610284546,1.588117397
3,0.648230191,1.548959577
4,0.606065609,3.345177412
5,0.597088279,3.699101806
6,0.648304856,3.576786017
7,0.648230191,3.598697686
8,0.606065609,2.060505879
9,0.597088279,2.356859767
10,0.648304856,2.2836712
11,0.648230191,2.252019036
12,0.606065609,4.291503906
13,-0.354465227,4.603991842
14,0.648304856,4.620304966
15,0.648230191,4.637349629
16,0.606065609,2.734095049
17,-0.354465227,3.037385237
18,0.648304856,3.033597994
19,0.648230191,3.030429959
20,0.603605406,1.342970431
21,0.632835465,1.849062741
22,0.646031732,1.79840405
23,0.607607716,1.644618261
24,0.603605406,1.238712668
25,0.632835465,1.657336783
26,0.607682382,1.434920812
27,0.607607716,1.342817378
28,0.603605406,1.241343498
29,-0.395087701,1.432795691
30,0.607682382,1.355161154
31,0.607607716,1.254766941
0,0.606065609,1.75932498
1,0.597088279,2.055012035
2,0.610284546,1.919813049
3,0.648230191,1.885494995
4,0.606065609,1.342229939
5,0.597088279,1.609113216
6,0.610284546,1.487363064
7,0.648230191,1.51290102
8,0.606065609,1.443822479
9,0.597088279,1.735430515
10,0.648304856,1.656603277
11,0.648230191,1.621128929
12,0.606065609,1.434241521
13,-0.354465227,1.780073106
14,0.610284546,1.695764196
15,0.648230191,1.619343746
16,0.603605406,1.777606726
17,0.632835465,2.139369392
18,0.646031732,2.131749487
19,0.607607716,1.987694371
0,0.606065609,1.671354556
1,0.597088279,1.978267169
2,0.610284546,1.832273269
3,0.648230191,1.789336956
4,0.606065609,1.344045365
5,0.597088279,1.613624322
6,0.610284546,1.49096334
7,0.648230191,1.472635937
8,0.606065609,1.505328965
9,0.597088279,1.797849786
10,0.648304856,1.740720725
11,0.648230191,1.706540394
12,0.606065609,1.372528493
13,0.597088279,1.611948276
14,0.648304856,1.626017249
15,0.648230191,1.606089878
16,0.606065609,1.415466928
17,-0.354465227,1.758611584
18,0.610284546,1.672064698
19,0.648230191,1.611342108
20,0.606065609,1.444969082
21,-0.354465227,1.792124987
22,0.648304856,1.751398993
23,0.648230191,1.721219409
24,0.606065609,1.394677961
25,-0.354465227,1.752721095
26,0.648304856,1.71831634
27,0.648230191,1.691701603
28,0.603605406,1.30031575
29,0.632835465,1.614922249
30,0.646031732,1.60496248
31,0.607607716,1.512056875
32,0.603605406,1.265485644
33,0.632835465,1.634637344
34,0.607682382,1.506818914
35,0.607607716,1.413249779
36,0.603605406,1.324812984
37,0.632835465,1.64874773
38,0.607682382,1.525180542
39,0.607607716,1.42989378
40,0.603605406,1.265848541
41,-0.395087701,1.460647559
42,0.607682382,1.377838898
43,0.607607716,1.2835585
0,0.606065609,2.236902106
1,0.597088279,2.540194249
2,0.648304856,2.481287289
3,0.648230191,2.460836935
4,0.606065609,1.839858544
5,0.597088279,2.128410614
6,0.648304856,2.050320232
7,0.648230191,2.031327665
8,0.606065609,1.728031921
9,-0.354465227,2.029774034
10,0.610284546,1.978876746
11,0.648230191,1.922035015
12,0.606065609,3.350689757
13,-0.354465227,3.672336352
14,0.648304856,3.694757402
15,0.648230191,3.700903177
16,0.606065609,2.638471115
17,-0.354465227,2.958259916
18,0.648304856,2.963482118
19,0.648230191,2.969912386
20,0.603605406,1.249220276
21,0.632835465,1.652881062
22,0.646031732,1.626137745
23,0.607607716,1.495298505
24,0.603605406,1.293035996
25,0.632835465,1.663517797
26,0.646031732,1.656095278
27,0.607607716,1.544888949
28,0.603605406,1.304211724
29,0.632835465,1.650463915
30,0.607682382,1.515549195
31,0.607607716,1.422596943
32,0.603605406,1.239646864
33,-0.395087701,1.430027783
34,0.646031732,1.531486273
35,0.607607716,1.418924534
0,0.606065609,3.049136126
1,0.6340355,3.922531199
2,0.648304856,3.361794722
3,0.648230191,3.351419318
4,0.606065609,2.269054127
5,-0.354465227,2.570590281
6,0.650081599,2.934845996
7,0.648230191,2.577561116
8,0.606065609,2.38577677
9,-0.354465227,2.698312628
10,0.648304856,2.704658496
11,0.648230191,2.71378988
12,0.606065609,2.106179917
13,-0.354465227,2.445869744
14,0.648304856,2.438073266
15,0.648230191,2.428666747
16,0.603605406,1.26103586
17,0.631973639,2.122816694
18,0.646031732,1.629092097
19,0.607607716,1.503610504
20,0.603605406,1.232459438
21,0.631973639,2.07895149
22,0.607682382,1.431150818
23,0.607607716,1.338004076
24,0.603605406,1.269821703
25,0.631973639,2.171643388
26,0.607682382,1.518118119
27,0.607607716,1.424545157
28,0.603605406,1.786526227
29,0.632835465,2.213000309
30,0.648019738,2.489378893
31,0.607607716,2.035613191
32,0.603605406,1.238534939
33,0.632835465,1.708987153
34,0.607682382,1.524630284
35,0.607607716,1.43074621
36,0.603605406,1.268473828
37,0.632835465,1.659487319
38,0.607682382,1.47411691
39,0.607607716,1.382180083
40,0.603605406,1.271000016
41,-0.395087701,1.460845399
42,0.648019738,1.864361966
43,0.607607716,1.401556778
44,0.603605406,1.327907109
45,-0.395087701,1.521533632
46,0.648019738,1.923568499
47,0.607607716,1.474151886
48,0.603605406,1.254652262
49,-0.395087701,1.445555091
50,0.646031732,1.502377057
51,0.607607716,1.380325007
52,0.603605406,1.286727262
53,-0.395087701,1.479922473
54,0.646031732,1.544994771
55,0.607607716,1.419645011
56,0.603605406,1.240439677
57,-0.395087701,1.432546818
