,totalLatency,totalLatency
0,0.64422794,2.18117286
1,0.646367088,3.031518626
2,0.644302605,2.241366565
3,0.646292422,3.060485923
4,0.644302605,2.527540863
5,0.641257537,2.330652475
6,0.644862559,2.435044241
7,0.628061269,2.317783248
8,0.605744613,2.069936585
0,0.646292422,2.484958386
1,0.641257537,2.334461915
0,0.646367088,2.397650528
1,0.644302605,2.216108298
2,0.64422794,2.616130841
3,0.646367088,2.47787354
4,0.644302605,2.260484672
5,0.644862559,5.650394166
6,0.628061269,2.204870868
7,0.644862559,2.171592951
8,0.605744613,2.087739646
0,0.646292422,3.60189538
1,0.64422794,2.278228593
2,0.646367088,2.323532283
3,0.646292422,2.282100272
4,0.641257537,2.197477698
0,0.646292422,2.92400732
0,0.646292422,3.013236535
1,0.64422794,2.07441386
2,0.646367088,2.371449268
0,0.64422794,2.245465505
1,0.646367088,4.611898768
2,0.644302605,2.870112646
3,0.646367088,5.54599669
4,0.644302605,3.557015884
5,0.644862559,2.410449445
6,0.628061269,2.818590784
7,0.605744613,2.347386682
0,0.646292422,3.025545979
1,0.64422794,2.928450441
2,0.646367088,2.530105281
3,0.646292422,2.736016965
4,0.641257537,2.905731177
0,0.646292422,2.997844338
1,0.64422794,2.148705554
2,0.646367088,2.653505588
3,0.644302605,2.1542624
4,0.646292422,2.488512528
5,0.646367088,2.474930024
6,0.644302605,2.276204789
7,0.644862559,2.146541131
8,0.628061269,2.14152143
9,0.631666292,2.313340116
10,0.605744613,2.067600656
0,0.646367088,3.30999136
1,0.644302605,2.675975466
2,0.64422794,2.503273702
3,0.646367088,4.457312655
4,0.644302605,3.500807512
5,0.641257537,2.30859617
6,0.644862559,2.190298402
7,0.631666292,2.292823362
8,0.641257537,2.173315561
0,0.644302605,4.426530969
1,0.648902421,3.450300443
2,0.640280114,17.4402326
3,0.644302605,2.976257956
4,0.644862559,2.647215939
5,0.630025844,2.735515261
6,0.63079446,2.737554169
7,0.64684056,3.659749067
8,0.624781151,17.82000134
9,0.631666292,2.296314621
10,0.646071943,2.538230896
11,0.64684056,2.637591982
12,0.637977418,17.7579548
13,0.644862559,2.186598885
14,0.59965764,17.43477379
15,0.605744613,2.183635008
0,0.646367088,4.403938437
1,0.648133804,4.653280175
2,0.640205449,17.77577553
3,0.641257537,2.979880774
4,0.646071943,2.640178823
5,0.637977418,17.11261851
6,0.641257537,2.433759248
0,0.646292422,3.943612361
1,0.64422794,3.163193405
2,0.646367088,14.09448251
3,0.644302605,3.755539548
4,0.648133804,3.494189143
5,0.648902421,3.114648616
6,0.640205449,16.79959824
7,0.64422794,2.153282702
8,0.640280114,17.50912887
9,0.646367088,3.785309577
10,0.644302605,2.250648785
11,0.648133804,2.796475077
12,0.648902421,3.29270947
13,0.640205449,17.45633597
14,0.646292422,3.713013053
15,0.64422794,2.900475228
16,0.640280114,17.6104249
17,0.646367088,2.571481705
18,0.644302605,2.272069895
19,0.641257537,2.808967841
20,0.644862559,2.784348643
21,0.630025844,2.837402892
22,0.63079446,2.774857998
23,0.646071943,2.552882278
24,0.64684056,2.563671505
