,totalLatency,totalLatency
0,-0.012681555,71.46940184
1,-0.012681555,7.689090276
2,-0.012681555,71.00705686
3,-0.012681555,7.764656627
4,-0.012681555,26.23180232
5,-0.012681555,37.42535309
6,-0.012681555,6.663644207
7,-0.012681555,24.38886317
8,-0.012681555,51.94812622
0,-0.012681555,5.676501858
1,-0.012681555,5.019232428
0,0.052510437,60.50773535
1,0.052510437,4.958052635
2,0.052510437,72.88423822
3,0.052510437,37.22783779
4,0.052510437,166.0226913
5,0.052510437,4.707480776
6,0.052510437,4.909735501
7,0.052510437,160.2524135
8,0.052510437,69.8450616
0,-0.009454915,103.536469
1,-0.009454915,63.57771881
2,-0.009454915,31.21629205
3,-0.009454915,70.6042706
4,-0.009454915,125.2466046
0,-0.009454915,64.56799859
0,0.052510437,132.8182478
1,0.052510437,71.56649399
2,0.052510437,137.2451294
0,-0.001940842,158.7817375
1,-0.001940842,49.77875309
2,-0.001940842,80.60937086
3,-0.001940842,50.04270583
4,-0.001940842,54.45936124
5,-0.001940842,50.23581351
6,-0.001940842,49.97702549
7,-0.001940842,50.3799053
0,-0.001264511,49.60008962
1,-0.001264511,50.11456547
2,-0.001264511,50.00510906
3,-0.001264511,50.08027697
4,-0.001264511,49.96730549
0,0.065259939,49.98317322
1,0.065259939,50.0322222
2,0.065259939,50.55106971
3,0.065259939,50.0300334
4,0.065259939,87.70200075
5,0.065259939,64.86503206
6,0.065259939,78.49675688
7,0.065259939,70.77395934
8,0.065259939,169.8190455
9,0.065259939,93.19311908
10,0.065259939,88.14084481
0,-0.006784454,78.45301539
1,-0.006784454,91.80919954
2,-0.006784454,78.24814128
3,-0.006784454,96.55054132
4,-0.006784454,5.974363339
5,-0.006784454,86.69292598
6,-0.006784454,5.424858785
7,-0.006784454,44.879909
8,-0.006784454,5.731518579
0,-0.001940842,7.609885395
1,-0.001940842,22.67036034
2,-0.001940842,60.03224918
3,-0.001940842,57.10771015
4,-0.001940842,7.239759672
5,-0.001940842,42.57304707
6,-0.001940842,45.92046568
7,-0.001940842,12.1467232
8,-0.001940842,6.758341038
9,-0.001940842,7.014003921
10,-0.001940842,44.07407348
11,-0.001940842,48.03671602
12,-0.001940842,27.84480783
13,-0.001940842,25.78852865
14,-0.001940842,6.616705847
15,-0.001940842,7.021556723
0,-0.001264511,6.421380424
1,-0.001264511,6.095188534
2,-0.001264511,6.299456501
