,totalLatency
0,-0.006013983718858544
1,0.021940963647315355
2,-0.010003095288549257
3,0.009336622246656842
4,-0.006013983718858544
5,0.021940963647315355
6,-0.010003095288549257
7,0.009336622246656842
8,-0.006013983718858544
9,0.021940963647315355
10,-0.010003095288549257
11,0.009336622246656842
12,-0.006013983718858544
13,0.021940963647315355
14,-0.010003095288549257
15,0.009336622246656842
16,-0.006013983718858544
17,0.021940963647315355
18,-0.010003095288549257
19,0.009336622246656842
20,-0.006013983718858544
21,0.021940963647315355
22,-0.010003095288549257
23,0.009336622246656842
24,-0.006013983718858544
25,0.021940963647315355
26,-0.010003095288549257
27,0.009336622246656842
28,-0.006013983718858544
29,0.021940963647315355
30,-0.010003095288549257
31,0.009336622246656842
32,-0.006013983718858544
33,0.021940963647315355
34,-0.010003095288549257
35,0.009336622246656842
36,-0.006013983718858544
37,0.021940963647315355
38,-0.010003095288549257
39,0.009336622246656842
,totalLatency
0,-0.006013983718858544
1,0.021940963647315355
2,-0.010003095288549257
3,0.009336622246656842
4,-0.006013983718858544
5,0.021940963647315355
6,-0.010003095288549257
7,0.009336622246656842
8,-0.006013983718858544
9,0.021940963647315355
10,-0.010003095288549257
11,0.009336622246656842
12,-0.006013983718858544
13,0.021940963647315355
14,-0.010003095288549257
15,0.009336622246656842
16,-0.006013983718858544
17,0.021940963647315355
18,-0.010003095288549257
19,0.009336622246656842
20,-0.006013983718858544
21,0.021940963647315355
22,-0.010003095288549257
23,0.009336622246656842
24,-0.006013983718858544
25,0.021940963647315355
26,-0.010003095288549257
27,0.009336622246656842
28,-0.006013983718858544
29,0.021940963647315355
30,-0.010003095288549257
31,0.009336622246656842
32,-0.006013983718858544
33,0.021940963647315355
34,-0.010003095288549257
35,0.009336622246656842
36,-0.006013983718858544
37,0.021940963647315355
38,-0.010003095288549257
39,0.009336622246656842
,totalLatency
0,-0.006013983718858544
1,0.021940963647315355
2,-0.009079392734896618
3,0.009336622246656842
4,-0.006013983718858544
5,0.021940963647315355
6,-0.009079392734896618
7,0.009336622246656842
8,-0.006013983718858544
9,0.021940963647315355
10,-0.009079392734896618
11,0.009336622246656842
12,-0.006013983718858544
13,0.021940963647315355
14,-0.009079392734896618
15,0.009336622246656842
,totalLatency
0,-0.006013983718858544
1,0.021940963647315355
2,-0.009079392734896618
3,0.009336622246656842
,totalLatency
0,-0.006013983718858544
1,0.025152726346699534
2,-0.010003095288549257
