,totalLatency
0,0.6069667237979017
1,0.605780224311256
2,0.6117129388067458
3,0.6492448771668643
4,0.6069667237979017
5,0.605780224311256
6,0.6494570364390732
7,0.6492448771668643
8,0.6069667237979017
9,0.605780224311256
10,0.6494570364390732
11,0.6492448771668643
12,0.6069667237979017
13,0.6446937281240737
14,0.6117129388067458
15,0.6492448771668643
16,0.6069667237979017
17,0.6446937281240737
18,0.6494570364390732
19,0.6492448771668643
20,0.6047093093603115
21,0.6417301987157589
22,0.6476629132112487
23,0.6088251905394007
24,0.6047093093603115
25,0.6417301987157589
26,0.6476629132112487
27,0.6088251905394007
28,0.6047093093603115
29,0.6417301987157589
30,0.6090373498116095
31,0.6088251905394007
32,0.6047093093603115
33,0.6042740414966101
34,0.6090373498116095
35,0.6088251905394007
0,0.6069667237979017
1,0.6446937281240737
2,0.6117129388067458
3,0.6492448771668643
4,0.6047093093603115
5,0.6417301987157589
6,0.6476629132112487
7,0.6088251905394007
0,0.6069667237979017
1,0.605780224311256
2,0.6494570364390732
3,0.6492448771668643
4,0.6069667237979017
5,0.605780224311256
6,0.6494570364390732
7,0.6492448771668643
8,0.6069667237979017
9,0.6446937281240737
10,0.6494570364390732
11,0.6492448771668643
12,0.6047093093603115
13,0.6417301987157589
14,0.6476629132112487
15,0.6088251905394007
16,0.6047093093603115
17,0.6417301987157589
18,0.6090373498116095
19,0.6088251905394007
0,0.6069667237979017
1,0.605780224311256
2,0.6117129388067458
3,0.6492448771668643
4,0.6069667237979017
5,0.605780224311256
6,0.6117129388067458
7,0.6492448771668643
8,0.6069667237979017
9,0.605780224311256
10,0.6494570364390732
11,0.6492448771668643
12,0.6069667237979017
13,0.6446937281240737
14,0.6117129388067458
15,0.6492448771668643
0,0.6069667237979017
1,0.605780224311256
2,0.6494570364390732
3,0.6492448771668643
4,0.6069667237979017
5,0.605780224311256
6,0.6494570364390732
7,0.6492448771668643
8,0.6069667237979017
9,0.6446937281240737
10,0.6494570364390732
11,0.6492448771668643
12,0.6047093093603115
13,0.6042740414966101
14,0.6090373498116095
15,0.6088251905394007
0,0.6069667237979017
1,0.605780224311256
2,0.6117129388067458
3,0.6492448771668643
4,0.6069667237979017
5,0.605780224311256
6,0.6117129388067458
7,0.6492448771668643
8,0.6069667237979017
9,0.605780224311256
10,0.6494570364390732
11,0.6492448771668643
12,0.6069667237979017
13,0.6446937281240737
14,0.6117129388067458
15,0.6492448771668643
16,0.6047093093603115
17,0.6417301987157589
18,0.6476629132112487
19,0.6088251905394007
0,0.6069667237979017
1,0.605780224311256
2,0.6117129388067458
3,0.6492448771668643
4,0.6069667237979017
5,0.605780224311256
6,0.6117129388067458
7,0.6492448771668643
8,0.6069667237979017
9,0.605780224311256
10,0.6494570364390732
11,0.6492448771668643
12,0.6069667237979017
13,0.605780224311256
14,0.6494570364390732
15,0.6492448771668643
16,0.6069667237979017
17,0.6446937281240737
18,0.6117129388067458
19,0.6492448771668643
0,0.6069667237979017
1,0.6446937281240737
2,0.6494570364390732
3,0.6492448771668643
4,0.6069667237979017
5,0.6446937281240737
6,0.6494570364390732
7,0.6492448771668643
8,0.6047093093603115
9,0.6417301987157589
10,0.6476629132112487
11,0.6088251905394007
12,0.6047093093603115
13,0.6417301987157589
14,0.6476629132112487
15,0.6088251905394007
16,0.6047093093603115
17,0.6417301987157589
18,0.6090373498116095
19,0.6088251905394007
20,0.6047093093603115
21,0.6042740414966101
22,0.6476629132112487
23,0.6088251905394007
0,0.6069667237979017
1,0.637313123978858
2,0.6494570364390732
3,0.6492448771668643
4,0.6069667237979017
5,0.6446937281240737
6,0.6584827146221328
7,0.6492448771668643
8,0.6069667237979017
9,0.6446937281240737
10,0.6494570364390732
11,0.6492448771668643
12,0.6069667237979017
13,0.6446937281240737
14,0.6494570364390732
15,0.6492448771668643
16,0.6047093093603115
17,0.6354540506046134
18,0.6476629132112487
19,0.6088251905394007
20,0.6047093093603115
21,0.6354540506046134
22,0.6090373498116095
23,0.6088251905394007
24,0.6047093093603115
25,0.6354540506046134
26,0.6090373498116095
27,0.6088251905394007
28,0.6047093093603115
29,0.6417301987157589
30,0.6566236412478882
31,0.6088251905394007
32,0.6047093093603115
33,0.6417301987157589
34,0.6090373498116095
35,0.6088251905394007
36,0.6047093093603115
37,0.6417301987157589
38,0.6090373498116095
39,0.6088251905394007
40,0.6047093093603115
41,0.6042740414966101
42,0.6566236412478882
