,totalLatency
0,0.6071433480716643
1,0.6066278292003534
2,0.6499347718127945
3,0.64954506399623
4,0.6071433480716643
5,0.6457406730950649
6,0.6125799165414804
7,0.64954506399623
8,0.6071433480716643
9,0.6457406730950649
10,0.6499347718127945
11,0.64954506399623
12,0.6071433480716643
13,0.6457406730950649
14,0.6499347718127945
15,0.64954506399623
16,0.6049000079790926
17,0.6425918779498748
18,0.6485439652910018
19,0.6091394517137849
20,0.6049000079790926
21,0.6425918779498748
22,0.6095291595303494
23,0.6091394517137849
24,0.6049000079790926
25,0.6425918779498748
26,0.6095291595303494
27,0.6091394517137849
28,0.6049000079790926
29,0.6053350608126198
30,0.6485439652910018
31,0.6091394517137849
32,0.6049000079790926
33,0.6053350608126198
34,0.6485439652910018
35,0.6091394517137849
36,0.6049000079790926
37,0.6053350608126198
38,0.6095291595303494
39,0.6091394517137849
,totalLatency
0,0.6071433480716643
1,0.6066278292003534
2,0.6125799165414804
3,0.64954506399623
4,0.6071433480716643
5,0.6066278292003534
6,0.6499347718127945
7,0.64954506399623
8,0.6071433480716643
9,0.6066278292003534
10,0.6499347718127945
11,0.64954506399623
12,0.6071433480716643
13,0.6457406730950649
14,0.6125799165414804
15,0.64954506399623
16,0.6071433480716643
17,0.6457406730950649
18,0.6125799165414804
19,0.64954506399623
20,0.6071433480716643
21,0.6457406730950649
22,0.6499347718127945
23,0.64954506399623
24,0.6049000079790926
25,0.6425918779498748
26,0.6485439652910018
27,0.6091394517137849
28,0.6049000079790926
29,0.6425918779498748
30,0.6485439652910018
31,0.6091394517137849
32,0.6049000079790926
33,0.6425918779498748
34,0.6095291595303494
35,0.6091394517137849
36,0.6049000079790926
37,0.6053350608126198
38,0.6485439652910018
39,0.6091394517137849
,totalLatency
0,0.6071433480716643
1,0.6066278292003534
2,0.6125799165414804
3,0.64954506399623
4,0.6071433480716643
5,0.6066278292003534
6,0.6499347718127945
7,0.64954506399623
8,0.6071433480716643
9,0.6457406730950649
10,0.6125799165414804
11,0.64954506399623
12,0.6049000079790926
13,0.6425918779498748
14,0.6485439652910018
15,0.6091394517137849
,totalLatency
0,0.6071433480716643
1,0.6066278292003534
2,0.6125799165414804
3,0.64954506399623
,totalLatency
0,0.6071433480716643
1,0.6066278292003534
2,0.6125799165414804
3,0.64954506399623
4,0.6071433480716643
5,0.6066278292003534
6,0.6499347718127945
7,0.64954506399623
8,0.6071433480716643
9,0.6457406730950649
10,0.6125799165414804
11,0.64954506399623
12,0.6049000079790926
13,0.6425918779498748
14,0.6485439652910018
15,0.6091394517137849
,totalLatency
0,0.6071433480716643
1,0.6066278292003534
2,0.6125799165414804
3,0.64954506399623
,totalLatency
0,0.6071433480716643
1,0.6066278292003534
2,0.6125799165414804
3,0.64954506399623
,totalLatency
0,0.6071433480716643
1,0.6066278292003534
2,0.6125799165414804
3,0.64954506399623
4,0.6071433480716643
5,0.6066278292003534
6,0.6499347718127945
7,0.64954506399623
8,0.6071433480716643
9,0.6066278292003534
10,0.6499347718127945
11,0.64954506399623
12,0.6071433480716643
13,0.6457406730950649
14,0.6125799165414804
15,0.64954506399623
16,0.6071433480716643
17,0.6457406730950649
18,0.6125799165414804
19,0.64954506399623
20,0.6071433480716643
21,0.6457406730950649
22,0.6499347718127945
23,0.64954506399623
24,0.6049000079790926
25,0.6425918779498748
26,0.6485439652910018
27,0.6091394517137849
28,0.6049000079790926
29,0.6425918779498748
30,0.6485439652910018
31,0.6091394517137849
32,0.6049000079790926
33,0.6425918779498748
34,0.6095291595303494
35,0.6091394517137849
36,0.6049000079790926
37,0.6053350608126198
38,0.6485439652910018
39,0.6091394517137849
,totalLatency
0,0.6049000079790926
1,0.6361140597546244
2,0.6095291595303494
3,0.6091394517137849
4,0.6049000079790926
5,0.6053350608126198
6,0.6868143398666693
7,0.6091394517137849
,totalLatency
0,0.6071433480716643
1,0.6379590587838506
2,0.6499347718127945
3,0.64954506399623
4,0.6071433480716643
5,0.6457406730950649
6,0.6886593388958954
7,0.64954506399623
8,0.6049000079790926
9,0.6361140597546244
10,0.6485439652910018
11,0.6091394517137849
12,0.6049000079790926
13,0.6361140597546244
14,0.6095291595303494
15,0.6091394517137849
16,0.6049000079790926
17,0.6425918779498748
18,0.6868143398666693
19,0.6091394517137849
20,0.6049000079790926
21,0.6053350608126198
22,0.6868143398666693
23,0.6091394517137849
,totalLatency
0,0.6071433480716643
1,0.6379590587838506
2,0.6125799165414804
3,0.64954506399623
4,0.6071433480716643
5,0.6379590587838506
6,0.6499347718127945
7,0.64954506399623
8,0.6071433480716643
9,0.6066278292003534
10,0.6886593388958954
11,0.64954506399623
12,0.6071433480716643
13,0.6457406730950649
14,0.6886593388958954
15,0.64954506399623
16,0.6049000079790926
17,0.6361140597546244
18,0.6485439652910018
19,0.6091394517137849
20,0.6049000079790926
21,0.6425918779498748
22,0.6868143398666693
23,0.6091394517137849
,totalLatency
0,0.6071433480716643
1,0.6379590587838506
2,0.6125799165414804
3,0.64954506399623
4,0.6071433480716643
5,0.6066278292003534
6,0.6886593388958954
7,0.64954506399623
,totalLatency
0,0.6071433480716643
1,0.6066278292003534
2,0.6125799165414804
3,0.64954506399623
4,0.6071433480716643
5,0.6066278292003534
6,0.6499347718127945
7,0.64954506399623
8,0.6071433480716643
9,0.6457406730950649
10,0.6125799165414804
11,0.64954506399623
12,0.6049000079790926
13,0.6425918779498748
14,0.6485439652910018
15,0.6091394517137849
,totalLatency
0,0.6071433480716643
1,0.6066278292003534
2,0.6125799165414804
3,0.64954506399623
,totalLatency
0,0.6071433480716643
1,0.6379590587838506
2,0.6125799165414804
3,0.64954506399623
4,0.6071433480716643
5,0.6379590587838506
6,0.6499347718127945
7,0.64954506399623
8,0.6071433480716643
9,0.6066278292003534
10,0.6886593388958954
11,0.64954506399623
12,0.6071433480716643
13,0.6457406730950649
14,0.6886593388958954
15,0.64954506399623
16,0.6049000079790926
17,0.6361140597546244
18,0.6485439652910018
19,0.6091394517137849
20,0.6049000079790926
21,0.6425918779498748
22,0.6868143398666693
23,0.6091394517137849
,totalLatency
0,0.6071433480716643
1,0.6379590587838506
2,0.6125799165414804
3,0.64954506399623
4,0.6071433480716643
5,0.6066278292003534
6,0.6886593388958954
7,0.64954506399623
